name,sub_area,area,grade,star_count,popular
The Great Eye,Devils Lake Bouldering,Devil's Lake,1,3,11
The Walrus,Devils Lake Bouldering,Devil's Lake,8,3,2
Double Mint,Devils Lake Bouldering,Devil's Lake,1,1,1
Stanage Arete,Devils Lake Bouldering,Devil's Lake,5,3,2
Two Face,Devils Lake Bouldering,Devil's Lake,8,2.5,9
Trifecta,Devils Lake Bouldering,Devil's Lake,0,2,10
A Slab Called Spot,Devils Lake Bouldering,Devil's Lake,1,3,56
Don't Judge This Cover,Devils Lake Bouldering,Devil's Lake,4,2,4
Hot and Ready,Devils Lake Bouldering,Devil's Lake,8,2.5,4
Ballistic,Devils Lake Bouldering,Devil's Lake,9,2.5,16
Weasel on Crack,Devils Lake Bouldering,Devil's Lake,0,2.5,9
Green Slab,Devils Lake Bouldering,Devil's Lake,0,1.5,3
Cold Feet,Devils Lake Bouldering,Devil's Lake,3,2,1
Chilldo,Devils Lake Bouldering,Devil's Lake,5,3,14
Squirrel Arete,Devils Lake Bouldering,Devil's Lake,2,2.5,10
Fat Squirrel,Devils Lake Bouldering,Devil's Lake,5,2.5,9
Fat Raccoon,Devils Lake Bouldering,Devil's Lake,8,2.5,27
Fat Raccoon Sit aka Skinny Raccoon,Devils Lake Bouldering,Devil's Lake,9,3.5,22
Expose Yourself,Devils Lake Bouldering,Devil's Lake,2,1.5,9
The Fridge direct,Devils Lake Bouldering,Devil's Lake,3,1.5,11
Close the Trenchcoat,Devils Lake Bouldering,Devil's Lake,3,1.5,9
Rubik's Cubicle,Devils Lake Bouldering,Devil's Lake,4,2,23
Open Trenchcoat,Devils Lake Bouldering,Devil's Lake,5,1,5
Minibloc,Devils Lake Bouldering,Devil's Lake,6,1.5,3
The Fridge,Devils Lake Bouldering,Devil's Lake,7,2.5,15
Midwest Dream,Devils Lake Bouldering,Devil's Lake,8,2.5,7
Midnight Snack,Devils Lake Bouldering,Devil's Lake,9,1.5,5
Drunchies,Devils Lake Bouldering,Devil's Lake,9,1,5
Vice Grip,Devils Lake Bouldering,Devil's Lake,9,2.5,9
The Vice is Right,Devils Lake Bouldering,Devil's Lake,9,2.5,5
Insidious,Devils Lake Bouldering,Devil's Lake,10,2,5
In-sit-ious,Devils Lake Bouldering,Devil's Lake,11,2,2
El Parasol,Devils Lake Bouldering,Devil's Lake,12,3.5,5
Miami Vice,Devils Lake Bouldering,Devil's Lake,13,2.5,3
Mixed Emotion,Devils Lake Bouldering,Devil's Lake,4,3.5,50
Fat Trick,Devils Lake Bouldering,Devil's Lake,6,3,12
Flash or Die,Devils Lake Bouldering,Devil's Lake,0,1.5,4
What What!,Devils Lake Bouldering,Devil's Lake,3,2.5,3
Trump Bucks,Devils Lake Bouldering,Devil's Lake,3,1.5,3
